artist_name,artist_id,track_name,track_id,lyric,sentiment,sentiment_score
Zendaya,6sCbFbEjbYepqswM1vWjjs,Butterflies,1nV9EKNIAORTvadQ19jkik,"Wait a minute
Every time you're near
My body's getting reckless
Hope I don't regret this
Wait a minute
The way you make me feel
I can't keep my focus
It's too much to resist

I'm over being under your spell
It keeps blinding me
Was too blind to see, yeah
I'm not the only one that you tell
That I'm the only one

But, my heart keeps telling me the perfect lie
You rip me up with every last goodbye
I don't wanna say forever
It's just another now or never
So heart, don't let me trust these butterflies
I don't trust these butterflies
...

******* This Lyrics is NOT for Commercial use *******
(1409622883590)",Positive,95.48
J.Fla,2GbvMs4GBhcjd9d4N9sGUV,Shape of You,4M4h9xNOFpyDI3f2HZDXkg,"The club isn't the best place to find a lover
So the bar is where I go
Me and my friends at the table doing shots
Drinking fast and then we talk slow

Come over and start up a conversation with just me
And trust me I'll give a chance now
Take my hand, stop, put Van the Man on the jukebox
And then we start to dance, and now I'm singing like

Do you know I want your love?
Your love was handmade for somebody like me
Come on now, follow my lead
I may be crazy, don't mind me

Say, ""Boy, let's not talk too much
Grab on my waist and put that body on me""
Come on now, follow my lead
Come, come on now, follow my lead

I'm in love with the shape of you
We push and pull like a magnet do
Although my heart is falling too
I'm in love with your body

Last night you were in my room
...

******* This Lyrics is NOT for Commercial use *******
(1409622883590)",Positive,98.88
Charli XCX,25uiPmTg16RbhZWAqwLBy5,Boys,5o4yGlG0PfeVUa6ClIyOxq,"I was busy thinkin' 'bout boys
Boys, boys
I was busy dreamin' 'bout boys
Boys, boys (XCX)
Head is spinnin' thinkin' 'bout boys

I need that bad boy to do me right on a Friday
And I need that good one to wake me up on a Sunday
That one from work can come over on Monday night
I want 'em all
I want 'em all

And when they finally leave me I'm all alone, but
I'm lookin' down and my girls are blowin' my phone up
Them twenty questions, they askin' me where I'm at
Didn't hit 'em back

I'm sorry that I missed your party
I wish I had a better excuse like
...

******* This Lyrics is NOT for Commercial use *******
(1409622883590)",Positive,89.57000000000001
Meghan Trainor,6JL8zeS1NmiOftqZTRgdTz,Me Too,3KwwE4sgCzMaKWq6QBebmX,"Ow!

Who's that sexy thing I see over there?
That's me, standin' in the mirror
What's that icy thing hanging 'round my neck?
Um, that's gold, show me some respect, oh

I thank God every day (uh, ha)
That I woke up feelin' this way (uh, ha)
And I can't help loving myself
And I don't need nobody else, no, uh

If I was you, I'd wanna be me too
I'd wanna be me too
I'd wanna be me too

If I was you, I'd wanna be me too
I'd wanna be me too
I'd wanna be me too

I walk in like a dime piece
I go straight to V.I.P.
I never pay for my drinks
My entourage behind me
...

******* This Lyrics is NOT for Commercial use *******
(1409622883590)",Positive,87.63
Tungevaag,49CE2ffZ6Z3zeYSDauSKck,Samsara (feat. Emila),04xLp87480JkyiHIiWgj8I,"Times running up, tick tock
And I am set on mainly a thread of life
Do you belive in Karma?
Let's live it up like Samsara

Someone might tell you life is deadly
But with us it's just one of many
Come on let us set the tone
Follow the rave let's get it on

Take me home to Samsara, Samsara
Lose control like Samsara, Samsara
...

******* This Lyrics is NOT for Commercial use *******
(1409622883590)",Positive,11.540000000000001
Cash Cash,1LOB7jTeEV14pHai6EXSzF,How to Love (feat. Sofia Reyes) - Boombox Cartel Remix,22S5BO6h7JIOjg2Uw88l8e,"One, two, three

I've been running from the pain
Trying not to feel the same
But it's a shame that we're sinking
See my confidence is shaking
And my heart is feeling vacant
So you try to fill it in

You say I can fix the broken in your heart
You're worth saving, darling
But I don't know why you're shooting in the dark
I got faith in nothing

But love, pray for me
I never had somebody
...

******* This Lyrics is NOT for Commercial use *******
(1409622883590)",Positive,91.10000000000001
Fifth Harmony,1l8Fu6IkuTP0U5QetQJ5Xt,Worth It (feat. Kid Ink),41Fflg7qHiVOD6dEPvsCzO,"Give it to me, I'm worth it
Baby I'm worth it
Uh huh, I'm worth it
Gimme gimme I'm worth it
Give it to me, I'm worth it
Baby I'm worth it
Uh huh, I'm worth it
Gimme gimme I'm worth it

Okay, I tell her bring it back like she left some
Bring it-bring it back like she left some
Uh, in the club with the lights off
What you actin' shy for, come and show me that you
Wid it, wid it, wid it, wid it, wid it
Stop playin', how you know that I
Wid it, wid it, wid it, wid it, wid it, wid it
What you actin' shy for?

Just gimme you, just give me you
Just gimme you, that's all I wanna do
And if what they say is true
If it's true, I might give me to you
I may take a lot of stuff
Guaranteed, I can back it up
I think I'ma call you bluff
Hurry up, I'm waiting out front

Uh huh, you see me in the spot like ""Ooh, I love your style""
Uh huh, show me what you got 'cause I don't wanna waste my time
...

******* This Lyrics is NOT for Commercial use *******
(1409622883590)",Positive,97.65
Camila Cabello,4nDoRrQiYLoBzwC5BhVJzF,Havana (feat. Young Thug),0ofbQMrRDsUaVKq2mGLEAb,"Hey

Havana, ooh na-na (ayy)
Half of my heart is in Havana, ooh na-na (ayy, ayy)
He took me back to East Atlanta, na-na-na, ah
Oh, but my heart is in Havana (ayy)
There's somethin' 'bout his manners (uh-huh)
Havana, ooh-na-na (uh)

He didn't walk up with that ""how you doin'?"" (uh)
When he came in the room
He said there's a lot of girls I can do with (uh)
But I can't without you
I knew him forever in a minute (hey)
That summer night in June
And papa says he got malo in him (uh)
He got me feelin' like...

Ooh, ooh-ooh-ooh-ooh-ooh-ooh-ooh (ayy)
I knew it when I met him (ayy), I loved him when I left him
Got me feelin' like, ooh, ooh-ooh-ooh-ooh-ooh-ooh-ooh
And then I had to tell him, I had to go
Oh-na-na-na-na-na (woo)

Havana, ooh na-na (ayy, ayy)
Half of my heart is in Havana, ooh na-na (ayy, ayy)
...

******* This Lyrics is NOT for Commercial use *******
(1409622883590)",Positive,98.64
Tove Lo,4NHQUGzhtTLFvgF5SZesLK,Habits (Stay High),14OxJlLdcHNpgsm4DRwDOB,"I eat my dinner in my bathtub
Then I go to sex clubs
Watching freaky people getting it on
It doesn't make me nervous
If anything, I'm restless
Yeah, I've been around, and I've seen it all

I get home, I got the munchies
Binge on all my Twinkies
Throw up in the 'tub, then I go to sleep
And I drank up all my money
Dazed and kinda lonely

You're gone, and I gotta stay high all the time
To keep you off my mind
Ooh-ooh, ooh-ooh
High all the time to keep you off my mind
Ooh-ooh, ooh-ooh

Spend my days locked in a haze
Trying to forget you, babe, I fall back down
...

******* This Lyrics is NOT for Commercial use *******
(1409622883590)",Negative,65.9
Tove Lo,4NHQUGzhtTLFvgF5SZesLK,Talking Body,4K2uH46kwmTFGjNlkeFuGI,"Hey
Hey

Bed, stay in bed
The feeling of your skin locked in my head
Smoke, smoke me broke
I don't care, I'm down for what you want

Day drunk into the night
Wanna keep you here
'Cause you dry my tears
Yeah
Summer lovin' and fights
How it is for us
And it's all because

Now if we're talking body (Hey)
You got a perfect one
So put it on me (Hey)
Swear it won't take you long
If you love me right
We fuck for life
On and on and on

Now if we're talking body (Hey)
You got a perfect one
So put it on me (Hey)
Swear it won't take you long
If you love me right
We fuck for life
On and on and on

Love, give me love
Anything you want I'll give it up
...

******* This Lyrics is NOT for Commercial use *******
(1409622883590)",Positive,89.27000000000001
