artist_name,artist_id,track_name,track_id
Justin Timberlake,31TPClRtHm23RisEBtV3X7,Rock Your Body,1AWQoqb9bSvzTjaLralEkT
50 Cent,3q7HBObVc0L8jNeTe5Gofh,In Da Club,4RY96Asd9IefaL3X4LOLZ8
Lady Gaga,1HY2Jd0NmPuamShAr6KMms,Just Dance,2x7MyWybabEz6Y6wvHuwGE
Gwen Stefani,4yiQZ8tQPux8cPriYMWUFP,The Sweet Escape,66ZcOcouenzZEnzTJvoFmH
Shakira,0EmeFodog0BfCgMzAIvKQp,Hips Don't Lie (feat. Wyclef Jean),3ZFTkvIE7kyPt6Nu3PEa7V
Usher,23zg3TcAtWQy7J6upgbUnj,Yeah! (feat. Lil Jon & Ludacris),5rb9QrpfcKFHM1EUbSIurX
Mary J. Blige,1XkoF8ryArs86LZvFOkbyr,Family Affair,3aw9iWUQ3VrPQltgwvN9Xu
Eminem,7dGJo4pcD2V6oG8kP0tJRR,"Lose Yourself - From ""8 Mile"" Soundtrack",5Z01UMMf7V1o0MzF86s6WJ
Gnarls Barkley,5SbkVQYYzlw1kte75QIabH,Crazy,2N5zMZX7YeL1tico8oQxa9
JAY-Z,3nFkdlSjzX9mRTtwJOzDYB,Empire State Of Mind,2igwFfvr1OAGX9SKDCPBwO
Maroon 5,04gDigrS5kc9YWfZHwBETP,This Love,6ECp64rv50XVz93WvxXMGF
Justin Timberlake,31TPClRtHm23RisEBtV3X7,Cry Me a River,7Lf7oSEVdzZqTA0kEDSlS5
Rihanna,5pKCCKE2ajJHZ9KAiaK11H,Umbrella,49FYlytm3dAAraYgpoJZux
Coldplay,4gzpq5DPGxSnKTe4SA8HAU,Yellow,3AJwUDP919kvQ9QcozQPxg
Eminem,7dGJo4pcD2V6oG8kP0tJRR,Without Me,7lQ8MOhq6IN2w8EYcFNSUk
The Killers,0C0XlULifJtAgn6ZNCW2eu,Mr. Brightside,003vvx7Niy0yvhvHt4a68B
Linkin Park,6XyY86QOPPrYVGvF9ch6wz,In the End,60a0Rd6pjrkxjPbaKzXjfq
Gorillaz,3AA28KZvwAUcZuOKwyblJQ,Feel Good Inc.,0d28khcov6AiegSCpG5TuT
The White Stripes,4F84IBURUo98rz4r61KF70,Seven Nation Army,3dPQuX8Gs42Y7b454ybpMR
Eminem,7dGJo4pcD2V6oG8kP0tJRR,The Real Slim Shady,3yfqSUWxFvZELEM4PmlwIR
Coldplay,4gzpq5DPGxSnKTe4SA8HAU,The Scientist,75JFxkI2RXiU7L9VXzMkle
Foster The People,7gP3bB2nilZXLfPHJhMdvc,Pumped Up Kicks,7w87IxuO7BDcJ3YUqCyMTT
Linkin Park,6XyY86QOPPrYVGvF9ch6wz,Numb,2nLtzopw4rPReszdYBJU6h
The Game,0NbfKEOTQCcwd6o7wSDOHI,Hate It Or Love It,2wGSgTmgSF3xjRrHkTc25R
Lady Gaga,1HY2Jd0NmPuamShAr6KMms,Bad Romance,0SiywuOBRcynK0uKGWdCnn
Outkast,1G9G7WwrXka3Z1r7aIDjI7,Ms. Jackson,0I3q5fE6wg7LIfHGngUTnV
Coldplay,4gzpq5DPGxSnKTe4SA8HAU,Viva La Vida,1mea3bSkSGXuIRvnydlB5b
