artist_name,artist_id,track_name,track_id
Bruno Mars,0du5cEVh5yTK9QJze8zA0C,Locked out of Heaven,3w3y8KPTfNeOKPiqUTakBh
Shawn Mendes,7n2wHs1TKAczGzO7Dd2rGr,There's Nothing Holdin' Me Back,7JJmb5XwzOO8jgpou264Ml
a-ha,2jzc5TC5TVFLXQlBNiIUzE,Take on Me,2WfaOiMkCvy7F5fcp2zZ8L
James Arthur,4IWBUUAFIplrNtaOHcJPRM,Say You Won't Let Go,5uCax9HTNlzGybIStD3vDh
The Chainsmokers,69GGBxA162lTqCwzJG5jLp,Something Just Like This,6RUKPb4LETWmmr3iAEQktW
Avicii,1vCWHaC5f2uS3yhpwWbIA6,Wake Me Up,0nrRP2bk19rLc0orkWPQk2
Maroon 5,04gDigrS5kc9YWfZHwBETP,Memories,4cktbXiXOapiLBMprHFErI
Imagine Dragons,53XhwfbYqKCa1cC15pYq2q,Thunder,1zB4vmk8tFRmM9UULNzbLB
Harry Styles,6KImCVD70vtIoJWnq6nGn3,Adore You,3jjujdWJ72nww5eGnfs2E7
Coldplay,4gzpq5DPGxSnKTe4SA8HAU,Viva La Vida,1mea3bSkSGXuIRvnydlB5b
John Legend,5y2Xq6xcjJb2jVM54GHK3t,All of Me,3U4isOIWM3VvDubwSI3y7a
Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,Photograph,1HNkqx9Ahdgi1Ixy2xkKkL
Elton John,3PhoLpVuITZKcymswpck5b,I'm Still Standing,1jDJFeK9x3OZboIAHsY9k2
Bon Jovi,58lV9VcRSjABbAbfWS6skp,Livin' On A Prayer,37ZJ0p5Jm13JPevGcx4SkF
Rihanna,5pKCCKE2ajJHZ9KAiaK11H,Love On The Brain,5oO3drDxtziYU2H1X23ZIp
The Chainsmokers,69GGBxA162lTqCwzJG5jLp,Closer,7BKLCZ1jbUBVqRi2FVlTVw
Shawn Mendes,7n2wHs1TKAczGzO7Dd2rGr,Treat You Better,3QGsuHI8jO1Rx4JWLUh9jd
Harry Styles,6KImCVD70vtIoJWnq6nGn3,Falling,1ZMiCix7XSAbfAJlEZWMCp
Lady Gaga,1HY2Jd0NmPuamShAr6KMms,Shallow,2VxeLyX666F8uXCJ0dZF8B
Sam Smith,2wY79sveU1sp5g7SokKOiI,Stay With Me,5Nm9ERjJZ5oyfXZTECKmRt
Coldplay,4gzpq5DPGxSnKTe4SA8HAU,A Sky Full of Stars,0FDzzruyVECATHXKHFs9eJ
Justin Bieber,1uNFoZAHBGtllmzznpCI3s,Love Yourself,50kpGaPAhYJ3sGmk6vplg0
