artist_name,artist_id,track_name,track_id,lyric,sentiment,sentiment_score
Bruno Mars,0du5cEVh5yTK9QJze8zA0C,Locked out of Heaven,3w3y8KPTfNeOKPiqUTakBh,"One, two, one, two, three
Oh, yeah, yeah
Oh, yeah, yeah, yeah, yeah (ooh)
Oh, yeah, yeah
Oh, yeah, yeah, yeah, yeah (ooh)

Never had much faith in love or miracles (ooh)
Never wanna put my heart on the line (ooh)
But swimmin' in your water's something spiritual (ooh)
I'm born again every time you spend the night (ooh)

'Cause your sex takes me to paradise
Yeah, your sex takes me to paradise
And it shows
Yeah, yeah, yeah

'Cause you make me feel like
I've been locked out of heaven
For too long, for too long
Yeah, you make me feel like
...

******* This Lyrics is NOT for Commercial use *******
(1409622883590)",Positive,99.44
Shawn Mendes,7n2wHs1TKAczGzO7Dd2rGr,There's Nothing Holdin' Me Back,7JJmb5XwzOO8jgpou264Ml,"I wanna follow where she goes
I think about her and she knows it
I wanna let her take control
'Cause every time that she gets close, yeah

She pulls me in enough to keep me guessin', hmm

And maybe I should stop and start confessin'
Confessin', yeah

Oh, I've been shakin'
I love it when you go crazy
You take all my inhibitions
Baby, there's nothing holdin' me back
You take me places that tear up my reputation
Manipulate my decisions
Baby, there's nothing holdin' me back

There's nothing holdin' me back

...

******* This Lyrics is NOT for Commercial use *******
(1409622883590)",Positive,49.39
a-ha,2jzc5TC5TVFLXQlBNiIUzE,Take on Me,2WfaOiMkCvy7F5fcp2zZ8L,"We're talking away
I don't know what I'm to say
I'll say it anyway
Today is another day to find you

Shying away
I'll be coming for your love, okay?

Take on me (take on me)
Take me on (take on me)
I'll be gone
In a day or two

So needless to say
I'm odds and ends
...

******* This Lyrics is NOT for Commercial use *******
(1409622883590)",Positive,63.690000000000005
James Arthur,4IWBUUAFIplrNtaOHcJPRM,Say You Won't Let Go,5uCax9HTNlzGybIStD3vDh,"I met you in the dark
You lit me up
You made me feel as though
I was enough
We danced the night away
We drank too much
I held your hair back when
You were throwing up

Then you smiled over your shoulder
For a minute, I was stone cold sober
I pulled you closer to my chest
And you asked me to stay over
I said, ""I already told ya
I think that you should get some rest""

I knew I loved you then, but you'd never know
'Cause I played it cool when I was scared of letting go
I knew I needed you, but I never showed
But I wanna stay with you until we're grey and old
...

******* This Lyrics is NOT for Commercial use *******
(1409622883590)",Positive,73.50999999999999
The Chainsmokers,69GGBxA162lTqCwzJG5jLp,Something Just Like This,6RUKPb4LETWmmr3iAEQktW,"I've been reading books of old
The legends and the myths
Achilles and his gold
Hercules and his gifts
Spider-Man's control
And Batman with his fists
And clearly, I don't see myself upon that list

But she said, ""Where'd you wanna go?
How much you wanna risk?
I'm not looking for somebody with some superhuman gifts
Some superhero
Some fairy tale bliss
Just something I can turn to
Somebody I can kiss""

I want something just like this
Doo-doo-doo, doo-doo-doo
Doo-doo-doo, doo, doo-doo
Doo-doo-doo, doo-doo-doo
Oh, I want something just like this
Doo-doo-doo, doo-doo-doo
Doo-doo-doo, doo, doo-doo
Da-da-da, da-da-da
...

******* This Lyrics is NOT for Commercial use *******
(1409622883590)",Positive,94.94
Avicii,1vCWHaC5f2uS3yhpwWbIA6,Wake Me Up,0nrRP2bk19rLc0orkWPQk2,"Feeling my way through the darkness
Guided by a beating heart
I can't tell where the journey will end
But I know where to start

They tell me I'm too young to understand
They say I'm caught up in a dream
Well life will pass me by if I don't open up my eyes
Well, that's fine by me

So wake me up when it's all over
When I'm wiser and I'm older
All this time, I was finding myself, and I
Didn't know I was lost

...

******* This Lyrics is NOT for Commercial use *******
(1409622883590)",Positive,92.01
Maroon 5,04gDigrS5kc9YWfZHwBETP,Memories,4cktbXiXOapiLBMprHFErI,"Here's to the ones that we got
Cheers to the wish you were here, but you're not
'Cause the drinks bring back all the memories
Of everything we've been through
Toast to the ones here today
Toast to the ones that we lost on the way
'Cause the drinks bring back all the memories
And the memories bring back, memories bring back you

There's a time that I remember, when I did not know no pain
When I believed in forever, and everything would stay the same
Now my heart feel like December when somebody say your name
'Cause I can't reach out to call you, but I know I will one day, yeah

Everybody hurts sometimes
Everybody hurts someday, ayy-ayy
But everything gon' be alright
Go and raise a glass and say, ayy

Here's to the ones that we got
Cheers to the wish you were here, but you're not
'Cause the drinks bring back all the memories
...

******* This Lyrics is NOT for Commercial use *******
(1409622883590)",Positive,89.34
Imagine Dragons,53XhwfbYqKCa1cC15pYq2q,Thunder,1zB4vmk8tFRmM9UULNzbLB,"Just a young gun with a quick fuse
I was uptight, wanna let loose
I was dreaming of bigger things and
Wanna leave my own life behind
Not a ""Yes sir"", not a follower
Fit the box, fit the mold
Have a seat in the foyer, take a number
I was lightning before the thunder

Thunder, thunder
Thunder, thun-, thunder
Thun-thun-thunder, thunder
Thunder, thunder, thun-, thunder
Thun-thun-thunder, thunder

Thunder, feel the thunder
Lightning and the thunder
Thunder, feel the thunder
Lightning and the thunder
Thunder, thunder
Thunder
...

******* This Lyrics is NOT for Commercial use *******
(1409622883590)",Negative,79.46
Harry Styles,6KImCVD70vtIoJWnq6nGn3,Adore You,3jjujdWJ72nww5eGnfs2E7,"Walk in your rainbow paradise (paradise)
Strawberry lipstick state of mind (state of mind)
I get so lost inside your eyes
Would you believe it?

You don't have to say you love me
You don't have to say nothing
You don't have to say you're mine

Honey (ah-ah-ah)
I'd walk through fire for you
Just let me adore you
Oh, honey (ah-ah-ah)
I'd walk through fire for you
Just let me adore you
Like it's the only thing I'll ever do
Like it's the only thing I'll ever do

Your wonder under summer sky (summer sky)
Brown skin and lemon over ice
Would you believe it?
...

******* This Lyrics is NOT for Commercial use *******
(1409622883590)",Positive,96.05
Coldplay,4gzpq5DPGxSnKTe4SA8HAU,Viva La Vida,1mea3bSkSGXuIRvnydlB5b,"I used to rule the world
Seas would rise when I gave the word
Now in the morning, I sleep alone
Sweep the streets I used to own

I used to roll the dice
Feel the fear in my enemy's eyes
Listened as the crowd would sing
""Now the old king is dead, long live the king""

One minute I held the key
Next, the walls were closed on me
And I discovered that my castles stand
Upon pillars of salt and pillars of sand

I hear Jerusalem bells a-ringing
Roman cavalry choirs are singing
Be my mirror, my sword and shield
...

******* This Lyrics is NOT for Commercial use *******
(1409622883590)",Negative,85.91
